,2000s,2010s,1990s,1970s,1980s
motions,255,73,6,4,3
motivate,79,39,3,0,1
motivated,70,51,1,0,0
motivation,228,167,8,1,0
motive,123,53,1,0,1
motives,130,46,1,0,1
motor,500,202,17,12,5
motorcycle,88,55,10,0,1
motorhead,114,7,0,0,0
mots,107,5,5,3,0
motto,186,112,6,0,0
mou,66,71,0,0,0
mound,122,40,6,0,1
mount,216,101,10,13,3
mountain,3590,1494,157,39,40
mountains,1977,825,72,17,27
mountainside,109,24,16,0,1
mourn,480,163,14,3,3
mournful,129,26,7,1,1
mourning,397,101,10,0,0
mouse,399,151,27,5,5
mouth,6466,2809,205,34,55
mouths,535,150,5,2,5
move,16186,8359,676,235,148
moved,1684,714,68,17,8
movement,629,268,16,55,4
movements,166,56,9,1,0
moves,2407,1214,102,17,16
movie,1848,1106,62,57,31
movies,848,377,52,7,9
movin,3259,1112,108,28,18
moving,4844,3197,154,57,64
mow,356,20,2,0,0
mr,4201,1621,227,86,20
mrs,748,220,20,6,6
ms,290,190,7,0,0
mtv,292,71,9,0,5
much,31988,13148,1379,366,383
mucho,116,40,1,0,0
muck,81,35,3,0,0
mud,943,455,42,8,5
muddy,422,157,11,10,2
muffin,113,25,2,0,1
mug,269,85,3,0,1
muggin,102,23,5,0,0
mula,12,133,0,0,0
mule,231,63,21,15,8
multi,137,70,2,1,0
multiple,116,33,1,0,0
multiply,269,101,5,1,0
mum,296,176,1,2,0
mumble,84,26,2,1,1
mummy,174,100,2,5,8
murda,535,75,0,0,0
murder,3243,1257,127,3,40
murdered,409,148,16,2,3
murderer,239,152,12,0,0
murderers,129,32,2,2,1
murdering,94,48,3,1,2
murderous,183,56,6,0,0
murders,187,56,4,2,2
murphy,166,31,3,1,1
murray,104,14,0,1,0
muscle,433,266,16,2,6
muscles,234,48,6,0,13
muse,113,98,2,0,0
museum,80,57,7,0,0
mush,92,28,2,0,0
mushroom,102,57,3,1,0
music,11451,5393,525,175,108
musical,341,87,18,1,0
musics,529,141,9,4,9
muslim,79,33,2,0,0
must,19317,6555,889,275,220
musta,158,38,6,1,2
mustache,66,50,2,1,1
mustang,89,48,20,1,0
mustard,155,82,19,0,0
mustve,465,192,9,5,5
mute,181,88,2,2,0
mutha,456,127,44,0,0
muthaf,35,76,14,0,0
muthafucka,559,173,29,0,0
muthafuckas,316,37,15,0,0
muthafucker,105,20,3,0,0
muthafuckin,698,130,30,0,0
mutilation,110,17,5,0,1
mutual,154,56,6,5,1
myspace,82,37,0,0,0
mysteries,335,94,13,0,2
mysterious,352,127,17,2,3
mystery,2042,712,88,31,21
mystic,304,89,10,11,4
mystical,190,39,4,1,0
mystified,84,25,5,3,1
myth,259,85,7,1,2
na,13318,12305,576,460,63
naa,85,83,1,0,0
nada,100,88,2,0,0
nae,64,396,1,0,0
naega,9,138,0,0,0
nag,70,65,2,2,1
nah,2789,2433,68,13,2
nai,82,68,3,1,2
nail,650,248,23,5,3
nailed,390,73,9,2,2
nails,921,386,35,5,3
naive,399,121,6,1,4
naked,2167,869,86,8,9
nal,25,278,1,0,0
nam,76,36,5,0,1
name,21565,10686,979,189,250
named,1202,410,78,20,7
nameless,221,82,6,0,5
names,2001,732,86,21,19
nan,74,306,0,0,0
nana,280,226,19,0,0
nanana,90,61,0,0,0
nancy,136,62,4,3,1
nap,133,82,3,0,0
napalm,111,27,2,1,2
napoleon,140,24,7,3,4
nappy,145,30,12,0,1
narrow,542,218,18,5,3
nas,281,192,7,1,0
nashville,269,58,34,9,1
nasty,1533,624,48,9,4
nate,141,44,1,0,0
nathan,54,68,2,0,0
nation,1997,643,78,23,15
national,273,63,13,3,1
nations,609,206,9,8,3
native,239,87,6,1,4
natty,70,10,94,21,1
natural,1344,534,85,33,30
naturally,337,163,9,10,0
nature,1916,641,76,2,47
natures,317,112,16,3,4
naughty,603,426,39,2,19
nauseous,85,47,1,0,0
navigate,122,52,1,1,2
navy,234,97,5,0,3
naw,717,280,12,5,0
nay,98,53,5,1,1
nazi,147,30,3,0,0
nd,84,57,4,1,0
ne,505,363,30,0,7
near,6119,2343,267,74,63
nearby,136,37,5,2,1
nearer,370,104,8,2,7
nearest,128,30,6,2,4
nearly,1081,387,54,11,17
neat,261,151,23,6,8
neath,504,156,40,0,12
nebraska,93,16,2,5,0
necessarily,113,39,3,1,0
necessary,348,110,10,0,1
neck,3036,1557,69,10,20
necklace,222,171,3,0,1
necks,320,103,12,2,0
need,60959,34203,2585,602,474
needed,3457,1673,126,33,22
needin,237,32,12,0,1
needing,647,282,22,7,3
needle,900,321,22,10,3
needles,416,146,18,9,2
needless,95,35,5,2,2
needs,5663,1994,212,46,56
needy,137,60,2,0,2
neer,94,31,3,0,0
negative,431,149,16,5,5
negativity,99,52,5,0,0
neglect,183,64,12,0,2
neglected,176,63,9,0,0
neighbor,368,181,30,9,5
neighborhood,985,406,69,11,13
neighbors,782,339,20,7,4
neighbour,98,34,4,2,6
neighbourhood,106,58,5,1,2
neighbours,124,78,2,0,2
neil,90,23,4,3,0
neither,765,273,31,16,12
nelly,112,33,1,0,0
nemesis,97,78,4,0,0
neo,66,123,0,0,0
neol,6,147,0,0,0
neon,869,495,40,8,31
nerd,81,30,2,0,0
nerve,888,313,40,4,32
nerves,549,200,17,2,6
nervous,1063,526,20,9,6
ness,103,31,2,1,0
nest,477,195,25,3,5
net,472,157,9,2,4
nets,82,40,4,2,1
network,111,58,2,3,1
neva,552,252,15,1,0
nevada,47,18,5,0,49
never,112120,56481,4526,941,1151
neverending,144,20,6,0,1
neverland,109,46,0,0,0
nevermind,107,66,1,1,0
nevermore,138,56,4,1,1
nevertheless,123,36,6,0,0
new,30089,14918,1069,381,265
newborn,363,112,10,2,1
newest,91,47,3,0,1
newly,110,23,6,0,1
news,3149,1255,189,50,53
newspaper,143,41,4,5,3
next,11371,5664,450,58,92
ni,592,866,0,0,7
nice,6095,2765,284,81,67
nicely,118,40,1,1,0
nicer,114,59,7,3,2
nicest,98,58,4,1,0
nick,487,156,16,1,1
nickatina,126,3,0,0,0
nickel,435,151,37,5,4
nickels,155,46,10,1,3
nicki,20,109,0,0,0
nicky,102,19,5,3,0
nicotine,131,49,1,2,2
nigga,27304,19188,736,3,0
niggas,18814,14354,426,3,0
niggasll,111,38,1,0,0
niggaz,8095,788,259,0,0
nigger,208,344,1,1,3
niggers,108,265,1,2,0
nigh,214,112,3,1,0
night,59436,29063,3070,725,769
nightfall,166,40,3,0,1
nightingale,104,106,13,0,1
nightlife,87,61,1,3,1
nightly,179,55,8,1,1
nightmare,1418,636,30,12,10
nightmares,641,323,19,3,6
nights,6347,3107,296,78,72
nighttime,263,101,9,3,2
nike,118,100,0,0,0
nikes,161,80,4,0,0
nile,114,41,5,1,2
nina,136,182,4,0,0
nine,4120,1120,113,48,24
nines,233,66,9,2,1
nineteen,359,134,27,6,1
ninety,925,180,66,5,2
ninja,84,276,2,0,0
nino,104,46,0,0,0
nintendo,64,47,2,0,0
ninth,85,52,2,0,0
nipping,85,26,6,0,0
nipples,115,32,0,0,1
nirvana,99,57,0,1,0
nite,150,54,0,0,11
nitty,97,46,4,1,0
noah,126,45,2,0,0
noble,304,93,5,1,1
nobody,11660,6817,601,219,123
nobodys,1586,767,88,24,25
nocturnal,181,66,9,0,7
nod,269,119,14,0,1
noel,464,155,18,14,0
noise,2182,994,54,41,24
noises,168,52,7,0,3
noisy,94,51,8,0,0
non,1089,432,57,5,13
none,3568,1631,146,35,40
nonsense,270,120,4,0,3
noo,95,97,3,4,1
noon,485,185,29,3,0
noone,191,66,4,1,0
nooo,124,73,2,0,0
noose,348,186,15,0,5
nope,280,312,6,0,2
norm,106,50,7,1,2
normal,634,280,3,1,16
normally,114,102,0,0,0
north,1858,646,85,8,22
northern,555,219,16,4,4
nos,216,34,16,0,0
nose,2096,794,111,14,23
nosed,113,46,11,0,1
noses,89,33,4,1,1
nostalgia,97,32,5,2,0
notch,235,99,11,2,2
note,1389,603,71,8,14
notes,605,335,21,4,3
nother,115,132,4,1,0
nothin,7649,3149,346,53,82
nothing,36039,18389,1365,245,333
nothingness,233,55,4,0,2
nothings,2160,1173,64,41,42
nothins,254,59,14,3,1
notice,1564,872,39,9,12
noticed,690,320,29,3,3
noticing,76,56,3,1,0
notion,382,139,23,4,2
notions,95,20,2,0,0
notorious,122,57,2,1,0
nots,80,29,5,0,1
nough,79,66,5,0,4
nous,139,60,24,0,0
nova,195,47,7,0,0
novel,90,36,3,2,1
november,337,100,5,0,1
nowadays,384,192,4,0,1
nowhere,5235,2289,236,81,92
nows,364,154,17,2,12
nu,124,75,3,0,0
nubian,115,11,2,3,0
nuclear,414,128,10,2,17
nude,143,71,5,7,1
nuff,592,197,36,12,2
nuh,1484,574,29,2,0
numb,1236,784,23,2,8
number,5221,2418,249,43,74
numbered,174,71,7,0,0
numbers,998,550,24,5,24
nun,142,64,2,2,1
nurse,300,138,21,5,1
nursery,124,38,1,0,0
nut,652,197,23,1,1
nuthin,408,51,9,0,0
nuts,951,339,25,3,2
nuttin,683,115,19,3,0
ny,153,82,6,4,0
nyc,115,29,0,0,0
oa,56,65,3,1,0
oah,12,210,2,0,0
oak,332,187,15,2,1
oakland,126,93,5,1,0
oasis,126,72,6,0,0
oath,211,97,3,0,1
obama,36,167,0,0,0
obey,700,215,23,6,3
obie,143,34,16,0,0
object,222,85,28,1,2
objects,124,43,0,0,4
oblivion,510,115,13,4,2
oblivious,140,47,0,0,3
obscene,308,100,7,1,1
obscure,184,24,7,1,1
obscurity,113,23,3,1,0
observe,176,64,9,0,0
obsessed,276,159,5,3,4
obsession,489,214,7,4,1
obsolete,118,50,3,0,0
obstacles,131,60,3,0,1
obtain,88,24,4,0,0
obvious,650,271,10,0,8
obviously,219,98,5,2,2
occasion,171,92,5,1,2
occupation,141,52,6,0,0
occupied,98,50,3,1,0
occupy,93,28,5,3,0
occur,116,28,4,1,1
occurred,125,26,4,2,0
ocean,3749,2051,144,38,27
oceans,850,368,25,4,2
oclock,1030,290,58,21,13
october,231,49,8,1,2
odd,360,151,10,2,2
odds,506,306,24,5,4
ody,44,73,1,0,0
oer,469,179,12,5,0
offa,90,46,2,0,1
offend,136,56,7,1,0
offended,104,75,1,2,0
offense,129,43,8,1,3
offer,1262,409,55,7,6
offered,380,120,24,4,2
offering,401,189,11,1,0
offers,205,76,9,2,0
office,503,197,15,5,14
officer,193,104,6,1,2
official,347,192,7,1,0
officially,110,47,1,0,0
offspring,111,27,1,0,0
often,1638,611,92,22,8
og,175,297,5,0,0
ogs,62,53,0,0,0
oh,121791,93775,6424,2184,1976
ohh,2732,1876,102,19,16
ohhh,948,921,24,7,5
ohhhh,372,308,15,3,2
ohhhhh,127,193,6,4,0
ohhhhhh,68,53,1,0,2
ohio,193,66,5,3,2
oho,74,232,0,0,0
ohoh,76,96,4,0,0
oi,666,109,57,0,12
oil,709,268,30,10,7
ok,2956,1670,72,11,4
okay,4461,3044,123,13,28
oklahoma,241,62,10,1,9
ol,2039,601,92,8,24
old,26369,10878,1368,418,292
olden,148,51,12,0,1
older,1909,1094,105,28,31
oldest,173,68,5,1,3
ole,944,278,56,15,1
olive,88,42,5,0,0
om,87,56,2,4,3
omaha,113,6,2,1,0
omega,124,45,6,0,0
omen,96,52,3,0,0
one,124176,55434,5271,1213,1191
ones,8604,4033,349,66,74
onion,82,43,11,0,1
online,169,107,5,0,0
onto,1343,846,34,4,15
onward,187,62,4,1,1
oo,1914,1512,135,72,65
ooh,16335,13504,1065,416,241
oohh,195,198,14,0,1
oohhh,87,62,2,0,0
oom,163,37,0,15,0
ooo,1733,1134,131,75,21
oooh,2016,1860,55,12,12
ooohh,125,76,0,0,0
ooohhh,88,73,1,0,10
oooo,467,370,15,6,1
ooooh,655,513,20,5,1
ooooo,151,140,15,3,3
oooooh,248,193,5,9,3
oooooo,98,63,13,9,0
ooooooh,89,82,4,0,1
ooooooo,86,61,20,16,1
oooooooh,80,46,3,1,1
oop,170,7,1,0,0
oops,334,178,1,28,0
op,76,83,2,6,0
open,14919,6999,572,100,145
opened,1850,669,69,25,27
opening,420,205,14,2,3
opens,497,159,17,2,0
opera,198,77,24,2,3
operate,119,47,3,0,0
operation,217,82,5,2,8
operator,242,95,14,5,4
opinion,400,155,11,1,2
opinions,265,124,8,0,3
opp,73,39,0,0,0
opportunities,117,44,2,1,1
opportunity,418,189,11,6,2
oppose,123,17,2,0,0
opposite,281,183,9,0,1
opposites,104,40,0,0,0
opposition,139,61,1,2,0
oppressed,98,19,2,0,3
oppression,306,51,12,1,0
oprah,86,103,3,0,0
option,172,150,4,1,0
options,156,130,3,0,2
orange,638,257,34,6,6
orbit,149,88,4,1,0
orchestra,140,19,4,2,1
order,1651,713,44,9,20
ordered,236,102,4,2,1
orders,410,130,14,4,5
ordinary,1144,482,36,6,4
ore,139,48,5,10,7
organ,185,57,6,2,2
organize,113,21,2,0,0
organized,129,28,3,0,0
organs,205,48,3,0,1
orgasm,103,19,0,0,3
orgy,96,13,4,0,2
origin,125,29,4,1,0
original,773,379,38,7,3
orleans,682,298,54,11,8
orphan,142,70,6,0,2
orphans,67,48,1,0,1
os,239,225,3,0,4
oscar,100,95,1,1,0
ot,114,38,6,1,1
others,3646,1390,144,43,53
otherwise,206,103,3,0,1
otis,104,14,13,1,2
ou,264,287,30,2,0
ouch,75,35,2,0,0
ought,1118,374,48,30,15
oughta,747,198,43,6,23
oui,88,42,7,1,2
ounce,515,251,7,0,1
ounces,142,59,3,0,1
outa,153,43,3,1,1
outcast,148,87,7,1,3
outcome,200,93,1,0,2
outdoors,77,32,11,0,0
outer,438,232,15,0,0
outfit,143,94,6,0,0
outlaw,415,110,46,0,1
outlaws,172,57,9,0,3
outlawz,129,24,15,0,0
outline,89,45,2,0,0
outrageous,287,57,6,4,1
outro,176,197,7,1,2
outrun,86,84,6,0,0
outs,168,82,8,0,0
outside,6473,2726,211,39,80
outskirts,103,35,7,1,12
outstretched,98,23,3,1,0
outta,3963,1679,128,19,25
ov,262,38,0,0,0
ova,205,86,0,0,0
ovation,42,95,2,0,0
oven,214,85,2,0,0
overboard,196,60,15,0,1
overcome,642,385,12,2,13
overdose,188,171,4,2,3
overdrive,208,73,17,0,0
overdue,234,98,10,1,4
overflow,171,114,5,1,0
overflowing,137,68,3,1,7
overhead,209,88,5,1,0
overload,244,125,9,1,1
overlook,72,33,1,1,8
overlooked,86,35,2,0,0
overnight,206,165,7,2,2
overrated,161,126,4,0,0
overseas,217,171,4,0,0
overthrow,79,41,2,0,0
overtime,361,164,17,0,7
overwhelmed,160,132,3,0,0
overwhelming,193,75,1,0,1
ow,805,614,44,23,27
owe,1298,790,28,4,4
owed,108,49,2,0,1
owes,86,26,6,1,0
owl,127,60,4,2,0
owned,300,133,12,1,0
owner,194,67,6,0,0
owns,244,127,5,3,5
oww,130,45,2,0,1
ox,129,32,2,0,0
oxygen,330,134,5,1,0
oyster,92,37,11,4,2
oz,76,59,5,0,0
ozone,97,20,3,8,0
pa,1061,550,82,21,6
pablo,53,104,1,0,0
pac,571,263,18,0,0
pace,870,432,59,15,12
pacific,144,68,6,1,0
pacing,139,84,10,3,0
pack,2699,1432,120,31,23
package,234,146,9,2,1
packed,1143,411,35,11,12
packin,399,94,11,0,1
packing,324,195,18,1,5
packs,319,154,13,4,0
pact,111,43,3,0,2
pad,325,145,16,2,1
padded,82,30,1,0,1
paddle,103,47,3,0,0
pagan,191,38,2,0,6
page,1687,815,69,8,8
pager,158,19,23,0,0
pages,911,410,15,9,7
paid,3232,1628,120,22,35
pain,21062,7569,693,115,154
painful,558,175,19,0,7
painfully,94,28,1,0,0
painless,110,39,4,0,1
pains,452,208,9,8,3
paint,2271,1261,48,11,12
painted,1355,536,37,15,5
painter,76,38,3,0,22
painting,445,233,12,1,3
paintings,92,27,4,1,0
paints,214,79,5,2,1
pair,1092,545,52,10,11
pairs,107,44,5,1,0
pajamas,86,58,1,0,1
pal,262,83,30,0,2
palace,448,139,15,1,11
pale,1365,480,50,10,3
palm,880,444,35,4,9
palms,275,145,9,3,3
pals,83,29,2,0,0
pam,112,67,49,0,0
pan,510,231,13,2,1
panda,17,129,1,0,0
pane,283,96,11,3,5
panic,768,532,20,11,9
pans,64,44,1,2,2
panther,102,37,2,0,0
panties,410,234,11,0,1
pants,1654,655,57,5,10
pap,98,25,1,0,1
papa,1186,475,84,19,10
paparazzi,109,122,1,0,0
papas,113,31,7,4,0
paper,3799,2424,117,33,18
papers,753,286,31,5,19
papi,199,117,5,8,0
pappy,101,26,10,1,0
par,234,85,11,3,3
para,216,163,6,0,0
parachute,129,143,1,0,0
parade,875,380,29,16,14
paradise,2832,1136,84,28,52
parallel,198,149,4,0,1
paralyzed,396,235,11,2,4
paranoia,282,103,5,0,3
paranoid,480,162,7,2,2
parasite,137,71,5,0,2
parasites,97,29,3,0,0
pardon,610,311,20,10,8
parents,1099,469,34,4,7
paris,766,403,32,3,25
park,2108,954,118,11,22
parked,350,173,16,3,3
parker,95,49,5,0,0
parkin,152,44,3,0,0
parking,621,334,22,3,3
parks,135,41,3,1,1
parlay,94,28,3,0,0
parlor,87,26,3,2,3
parole,159,39,6,1,2
parson,76,31,7,0,0
part,9402,4241,358,119,107
parted,300,112,12,1,7
particular,187,73,10,2,1
parties,482,222,25,3,3
parting,232,75,5,3,2
partner,584,212,32,1,5
partners,245,127,8,0,0
parton,227,15,2,1,0
parts,921,438,18,4,3
party,8317,6228,333,67,43
partying,58,74,2,0,0
partys,342,187,10,1,9
pas,397,97,36,3,0
pass,6975,3087,289,59,38
passage,262,68,5,0,2
passed,2704,1043,111,24,21
passenger,228,180,14,2,3
passengers,105,48,4,1,3
passes,808,335,16,5,13
passin,474,111,20,6,2
passing,2262,913,84,34,19
passion,2399,812,101,8,21
passionate,228,74,11,2,2
passions,258,62,19,1,6
passive,123,43,2,0,0
passport,83,85,8,1,0
past,10027,4635,399,82,96
paste,118,87,0,0,1
pastor,100,65,2,0,0
pastures,128,55,4,2,0
pat,326,147,27,17,1
patch,275,134,13,0,2
patches,107,8,3,1,2
path,3049,1307,83,6,16
pathetic,409,124,9,0,3
paths,465,165,14,4,4
pathway,100,55,3,1,0
patience,924,560,23,1,2
patient,600,324,8,6,3
patiently,443,221,14,6,2
patients,98,40,1,0,0
patrick,102,64,3,0,0
patrol,161,64,6,1,4
patron,213,214,1,0,0
patter,145,34,0,1,1
pattern,254,125,10,1,0
patterns,221,91,4,0,2
patty,96,22,7,0,2
paul,757,259,18,4,2
pause,429,282,6,2,1
pave,249,81,1,1,0
paved,342,153,9,4,3
pavement,427,223,10,4,8
paw,105,31,5,0,0
pawn,321,170,15,3,5
pawns,130,44,5,2,1
paws,124,53,2,1,0
pay,8791,3684,377,94,110
payback,288,79,4,0,0
paycheck,89,56,3,1,1
payed,120,41,4,2,1
payin,327,167,14,1,3
paying,539,355,24,1,6
payment,108,50,4,2,4
payments,76,33,1,1,1
pays,522,141,22,1,11
pe,44,106,4,0,0
peace,7991,3115,399,105,55
peaceful,658,260,34,4,14
peacefully,94,43,4,0,0
peach,154,95,8,2,1
peaches,174,50,23,3,2
peak,281,166,11,2,3
peaks,107,26,1,0,0
peanut,147,109,2,1,2
peanuts,89,42,3,2,2
pear,88,86,1,0,0
pearl,506,142,31,4,5
pearls,488,176,28,4,5
pearly,231,90,10,1,2
peas,235,47,9,1,3
peculiar,223,58,4,2,5
pedal,259,191,7,0,4
pedestal,139,54,7,0,0
pedigree,90,54,0,0,5
pee,401,98,8,1,1
peek,197,86,15,0,2
peel,550,214,23,1,5
peeled,168,46,8,0,1
peeling,155,44,5,1,1
peep,918,208,48,3,5
peeped,88,18,5,2,0
peepin,207,30,9,1,2
peeping,100,28,7,1,2
peeps,374,80,12,1,0
peer,95,36,3,4,0
peers,229,77,8,0,1
peg,90,29,7,1,2
peggy,123,42,7,0,0
pen,1377,624,36,3,4
penance,85,37,3,0,0
pencil,273,87,9,2,2
pendulum,79,45,2,0,1
penetrate,275,73,8,2,5
penis,239,114,0,0,1
penitentiary,157,49,18,0,0
pennies,252,125,3,3,0
penny,605,265,45,8,7
pens,133,33,0,0,0
penthouse,91,120,3,2,0
people,26114,10576,1210,604,338
peoples,949,193,39,9,6
pep,100,22,1,0,0
pepper,163,107,9,0,1
pepsi,100,29,0,0,0
per,447,132,8,1,1
perceive,159,52,2,1,0
percent,324,178,11,2,0
perception,198,91,7,2,0
percussion,211,26,2,2,0
perfect,5997,3498,169,32,103
perfection,637,247,17,6,1
perfectly,486,243,30,3,0
perform,284,128,6,11,0
performance,162,45,6,0,2
performed,364,31,9,0,0
performing,85,40,2,4,0
perfume,647,259,24,7,6
perhaps,881,232,21,17,4
period,161,92,3,1,0
perish,180,50,5,2,6
permanent,365,165,9,1,2
permanently,75,36,2,1,3
permission,214,145,8,0,0
perpetual,194,46,11,1,2
perry,54,64,3,0,0
persist,103,36,7,0,0
persistence,82,37,1,0,0
person,1455,885,56,21,18
persona,84,49,0,0,1
personal,735,269,31,3,4
personality,308,90,11,9,5
personally,107,23,2,0,1
persons,97,34,10,0,0
perspective,214,119,7,0,0
persuaded,92,20,9,1,0
persuasion,170,57,1,0,2
perverse,87,29,2,1,0
perverted,127,34,5,1,0
pestilence,102,22,7,0,1
pet,331,141,15,0,4
petal,66,64,1,0,0
petals,221,98,12,1,1
pete,259,47,6,3,28
peter,512,219,30,1,5
petrified,119,44,0,1,0
pets,96,30,3,0,0
petty,248,158,4,2,3
phantom,393,393,31,0,2
phantoms,89,30,13,0,0
pharaohs,88,55,3,5,1
phase,486,254,17,7,3
phat,343,47,14,0,0
phenomenon,108,57,4,0,1
phil,160,59,3,1,2
philadelphia,97,26,2,0,0
philly,367,126,14,1,0
philosophy,286,80,20,6,2
phoenix,215,150,3,3,2
phone,5715,3299,212,31,37
phones,304,168,10,0,5
phoney,90,34,0,0,0
phony,394,182,15,1,4
photo,257,208,5,0,2
photograph,564,191,14,9,11
photographs,290,142,6,3,0
photos,158,94,6,0,2
phrase,338,132,24,4,1
phrases,143,41,1,0,0
physical,630,309,16,2,1
physically,190,60,1,0,2
pi,178,38,4,0,0
piano,688,281,34,6,7
pic,33,92,0,0,0
picasso,79,32,7,0,0
pick,5301,2754,192,50,43
picked,1223,461,59,10,17
picket,207,66,9,0,0
pickin,570,157,32,13,2
picking,627,402,27,1,14
picks,284,84,13,6,1
pickup,201,69,7,2,0
picnic,121,79,4,0,1
pics,19,94,0,0,0
picture,4981,2351,153,17,47
pictured,94,46,4,1,1
pictures,2170,1017,82,13,20
pie,1077,365,51,20,7
piece,4172,1879,163,24,38
pieces,2879,1668,79,23,30
pier,105,71,11,1,1
pierce,262,74,8,0,1
pierced,188,42,10,0,0
piercing,192,56,4,1,1
pies,218,118,8,0,0
pig,683,139,27,1,7
pigeon,152,66,5,0,0
pigeons,131,46,1,1,1
piggy,127,38,5,0,1
pigs,471,122,12,7,2
pile,574,240,21,2,3
piled,150,46,7,0,1
piles,171,36,3,0,0
pilgrim,131,61,20,1,0
piling,68,66,1,0,0
pill,797,516,21,9,2
pillars,85,42,6,0,0
pillow,1074,558,69,21,10
pillows,132,63,3,0,1
pills,1072,630,27,7,15
pilot,262,185,4,15,1
pimp,1782,453,73,1,1
pimpin,846,287,53,0,1
pimping,131,109,2,2,0
pimps,350,78,22,1,1
pin,589,263,28,4,3
pinch,260,111,8,0,4
pine,380,143,10,0,2
pines,232,99,8,14,1
ping,103,33,1,0,0
pining,96,35,5,1,0
pink,1263,594,24,9,10
pinky,197,153,3,0,0
pinned,183,67,7,2,2
pins,232,55,5,4,8
pint,179,88,8,3,4
pioneer,81,52,1,1,0
pipe,625,334,14,3,4
piper,177,40,8,0,1
pipes,304,103,26,0,2
pirate,181,88,3,0,4
pirates,127,64,2,0,2
piss,985,439,30,2,4
pissed,740,351,7,0,2
pissin,140,32,3,0,1
pissing,159,72,2,1,2
pistol,1091,551,34,4,4
pistols,266,114,3,0,0
pit,671,298,23,2,4
pitch,442,234,18,4,5
pitchin,77,37,3,0,1
pitiful,266,78,23,0,3
pits,170,47,6,2,1
pitter,126,47,0,2,1
pity,1257,422,74,25,11
pizza,234,79,4,0,2
place,24875,10591,1029,275,323
placed,568,189,20,1,4
places,2997,1380,98,34,26
placing,86,36,2,0,0
plague,515,134,12,1,4
plagued,99,34,4,0,0
plagues,108,24,2,0,1
plain,1709,573,82,23,15
plainly,85,31,3,3,0
plains,376,119,20,4,11
plan,3779,1726,154,21,20
plane,1475,817,50,15,19
planes,360,243,10,0,3
planet,1480,552,62,3,11
planetary,78,6,31,0,0
planets,399,133,35,2,1
plank,86,79,2,0,2
planned,1121,413,48,12,12
planning,276,141,15,3,4
plans,2390,966,93,16,9
plant,578,269,20,11,5
planted,342,143,10,1,4
planting,84,29,4,0,0
plants,154,61,4,0,0
plaques,92,43,1,0,0
plastic,1347,499,46,10,14
plate,851,499,21,9,4
plated,116,35,2,3,0
plates,315,153,18,1,2
platform,242,46,10,2,2
platinum,861,191,13,0,2
platter,118,43,2,1,1
play,20700,9993,964,301,198
playa,1374,212,31,0,0
playas,350,41,15,0,0
playboy,330,109,6,1,2
played,3603,1571,164,74,39
player,1217,568,30,2,1
players,591,186,32,7,0
playground,279,155,9,2,1
playin,3065,1253,124,13,22
playing,4903,2873,186,60,63
plays,1477,585,85,31,24
plea,426,165,24,2,6
plead,483,232,15,0,4
pleading,284,115,6,2,2
pleas,101,34,1,0,5
pleasant,291,78,15,7,0
please,21324,9537,1163,320,216
pleased,439,126,21,3,2
pleases,156,29,13,0,3
pleasin,106,24,7,1,2
pleasing,188,86,5,4,0
pleasure,2267,727,112,14,25
pleasures,413,126,14,6,5
pledge,277,107,17,5,0
plenty,1427,643,71,8,12
plight,138,41,8,0,1
plot,629,215,25,10,1
plots,88,29,4,1,0
plottin,123,70,8,0,0
plotting,106,84,0,0,0
plow,166,62,2,1,3
pluck,137,62,3,1,0
plug,627,524,16,5,1
plugged,91,35,2,0,0
plum,86,37,9,0,19
plunder,98,32,1,1,0
plunge,131,25,3,0,1
plus,2631,883,65,3,2
plush,95,32,1,0,1
pluto,70,58,2,1,0
po,977,248,39,7,2
pocket,1831,1162,88,23,30
pockets,1214,695,39,6,6
poem,201,94,8,0,2
poems,160,76,13,2,1
poet,338,124,15,1,2
poetic,108,37,1,0,1
poetry,530,180,14,0,4
poets,286,84,5,2,1
point,4695,2109,144,25,39
pointed,340,107,20,1,2
pointin,88,49,2,0,0
pointing,334,145,5,6,3
pointless,235,93,7,1,2
points,607,195,18,2,2
poison,1751,776,65,3,25
poisoned,370,115,16,2,9
poisoning,104,33,4,2,2
poisonous,171,76,8,1,0
poisons,99,31,1,8,0
poke,202,141,6,2,19
poker,197,147,7,0,0
polar,97,73,5,0,1
pole,627,461,23,2,6
poles,108,77,5,4,3
police,2430,809,90,13,23
policeman,169,38,5,3,3
policy,127,49,6,0,1
polish,190,62,2,1,1
polished,108,48,5,3,1
polite,224,163,12,1,2
politely,84,30,2,1,0
political,316,83,25,4,14
politician,162,56,4,1,2
politicians,384,99,16,4,5
politics,467,119,14,3,7
polka,112,75,16,1,0
polluted,123,28,5,3,1
pollution,202,41,17,7,1
polly,82,62,9,2,0
polo,233,134,6,0,0
pom,152,24,0,0,0
pon,682,298,63,47,1
pond,144,70,8,0,2
ponder,138,68,4,1,1
pony,463,175,29,10,0
poo,138,31,0,4,0
poodle,75,17,1,27,0
pool,1078,501,47,7,12
pools,193,79,4,1,2
poor,4191,1352,218,83,67
pop,4995,3187,105,4,7
popcorn,150,48,5,1,0
pope,196,65,4,2,0
poppa,176,87,9,3,0
popped,473,243,13,1,0
poppin,1208,1031,36,0,2
popping,357,654,9,1,1
pops,529,241,16,1,2
popular,271,170,5,0,0
